Execution Time Log
===================
num_threads=1: 4813302 ms
num_threads=2: 2937014 ms
num_threads=3: 2522595 ms
num_threads=4: 2195379 ms
num_threads=5: 1964460 ms
num_threads=6: 1813004 ms
num_threads=7: 1510234 ms
num_threads=8: 1511274 ms
num_threads=9: 1435218 ms
num_threads=10: 1352997 ms
num_threads=11: 1278764 ms
num_threads=12: 1227501 ms
num_threads=13: 1186247 ms
num_threads=14: 1119875 ms
num_threads=15: 1092734 ms
num_threads=16: 1060558 ms
num_threads=17: 1051189 ms
num_threads=18: 1029367 ms
num_threads=19: 1016017 ms
num_threads=20: 999948 ms
num_threads=21: 994674 ms
num_threads=22: 980597 ms
num_threads=23: 960054 ms
num_threads=24: 973469 ms
num_threads=25: 962458 ms
num_threads=26: 963624 ms
num_threads=27: 977161 ms
num_threads=28: 969358 ms
